subject_id,group,covariate_X,target_Y,window_index,lag_steps,lag_ms,f_stat_manual,p_value_manual,f_stat_statsmodels,p_value_statsmodels
sub-001,A,Fp1,P3,2,30,60,2.248924441118246,0.00021315629576259057,2.24892444188911,0.00021315629444333076
sub-001,A,Fp1,P3,2,40,80,2.4996427334638898,2.653712824544821e-06,2.499642734727054,2.653712789225732e-06
sub-001,A,Fp1,P3,2,50,100,2.094251698802908,4.178617476074176e-05,2.094251698776818,4.1786174773224765e-05
sub-001,A,Fp1,P3,3,5,10,27.052148841893572,1.4520977991755196e-24,27.05214884160523,1.4520978000017257e-24
sub-001,A,Fp1,P3,3,10,20,3.4024963354326228,0.00024637090641204567,3.402496335723193,0.00024637090614863203
sub-001,A,Fp1,P3,3,20,40,2.9502536249502405,2.1236715560135943e-05,2.950253624550569,2.1236715614372055e-05
sub-001,A,Fp1,P3,3,30,60,2.388124721394593,6.859436190455812e-05,2.388124721310276,6.859436195230794e-05
sub-001,A,Fp1,P3,3,40,80,2.015362722183719,0.0003455676640671664,2.0153627223058495,0.00034556766366753187
sub-001,A,Fp1,P3,3,50,100,1.964855373063717,0.0001788952497832299,1.9648553733137868,0.00017889524929048822
sub-001,A,Fp1,P3,4,5,10,9.165886233913787,2.1277009861008073e-08,9.165886234032518,2.1277009855531195e-08
sub-001,A,Fp1,P3,4,10,20,4.157482594139483,1.453474052098635e-05,4.157482594509216,1.453474050052922e-05
sub-001,A,Fp1,P3,4,20,40,3.6100362552572887,2.8026772728838996e-07,3.6100362552961367,2.802677272154616e-07
sub-001,A,Fp1,P3,4,30,60,1.9179362148930932,0.00272522738773366,1.917936211882812,0.002725227447834367
sub-001,A,Fp1,P3,4,40,80,1.8252692881956167,0.001974720383156892,1.825269288452429,0.0019747203786714003
sub-001,A,Fp1,P3,4,50,100,1.6966128945764314,0.0029577766528708304,1.6966128943400889,0.002957776659743951
sub-001,A,P4,Fp2,0,5,10,39.136660914770935,1.5541703551441869e-34,39.13666091480452,1.554170355048731e-34
sub-001,A,P4,Fp2,0,10,20,13.607883187314588,1.5263712527320095e-21,13.607883186556165,1.5263712571123415e-21
sub-001,A,P4,Fp2,0,20,40,8.396456127022587,1.248672302308089e-21,8.396456126729012,1.2486723048041296e-21
sub-001,A,P4,Fp2,0,30,60,4.428346511385511,6.117065424996729e-13,4.428346510914739,6.11706545226262e-13
sub-001,A,P4,Fp2,0,40,80,3.355482622676085,2.0924319583283502e-10,3.3554826233373074,2.0924319425698293e-10
sub-001,A,P4,Fp2,0,50,100,3.1536934538404546,7.21718376674864e-11,3.1536934540831583,7.217183743650497e-11
sub-001,A,P4,Fp2,1,5,10,34.65396723485759,6.337437430882327e-31,34.653967234764075,6.3374374319968245e-31
sub-001,A,P4,Fp2,1,10,20,14.706555192919437,2.445081210457113e-23,14.70655519352114,2.445081204952733e-23
sub-001,A,P4,Fp2,1,20,40,9.39805118036349,1.4366493562675236e-24,9.398051178857443,1.4366493707692234e-24
sub-001,A,P4,Fp2,1,30,60,5.737540803651305,2.4930830495480565e-18,5.737540803439433,2.493083054537819e-18
sub-001,A,P4,Fp2,1,40,80,5.153908016349232,1.9035301618760295e-19,5.153908015375873,1.9035301832932632e-19
sub-001,A,P4,Fp2,1,50,100,5.268548105586357,3.872270928971356e-23,5.268548104424306,3.872270988333691e-23
sub-001,A,P4,Fp2,2,5,10,10.654846717202886,8.470646403500831e-10,10.654846717115015,8.470646405109283e-10
sub-001,A,P4,Fp2,2,10,20,2.7930360934580847,0.0022132068224749316,2.793036093061813,0.002213206825555042
sub-001,A,P4,Fp2,2,20,40,3.257837289639304,2.896363055910532e-06,3.257837289017945,2.896363067710242e-06
sub-001,A,P4,Fp2,2,30,60,3.761877468560174,3.243345467244802e-10,3.761877468489631,3.2433454693802073e-10
sub-001,A,P4,Fp2,2,40,80,4.005193573482095,1.1786270750562365e-13,4.005193573751533,1.1786270713725593e-13
sub-001,A,P4,Fp2,2,50,100,3.6213874332466376,1.4294960432687218e-13,3.621387432349055,1.4294960604582158e-13
sub-001,A,P4,Fp2,3,5,10,29.456672388078243,1.3094036632250634e-26,29.456672388063957,1.3094036632613953e-26
sub-001,A,P4,Fp2,3,10,20,11.029715345492528,2.9716481732788215e-17,11.029715344734447,2.971648182008917e-17
sub-001,A,P4,Fp2,3,20,40,6.5619041018956965,3.8424579768454656e-16,6.561904101972739,3.8424579747874454e-16
sub-001,A,P4,Fp2,3,30,60,3.95986268230621,5.081348378786392e-11,3.9598626824050944,5.0813483740687665e-11
sub-001,A,P4,Fp2,3,40,80,3.6460432482043847,7.497135315025801e-12,3.646043248264545,7.497135309832209e-12
sub-001,A,P4,Fp2,3,50,100,3.7087387437103674,4.4317102649001545e-14,3.7087387436264327,4.43171026989061e-14
sub-001,A,P4,Fp2,4,5,10,12.51618352873264,1.5363426487806433e-11,12.516183528749101,1.5363426487263344e-11
sub-001,A,P4,Fp2,4,10,20,8.414931287090507,8.221344871828982e-13,8.414931286790992,8.221344881532668e-13
sub-001,A,P4,Fp2,4,20,40,5.544665316506394,4.597711703615371e-13,5.5446653178534735,4.597711660436097e-13
sub-001,A,P4,Fp2,4,30,60,4.912247101410584,6.213966769721584e-15,4.912247101406112,6.213966769985309e-15
sub-001,A,P4,Fp2,4,40,80,3.618506704543629,1.0293024943206184e-11,3.6185067043563213,1.0293024965387705e-11
sub-001,A,P4,Fp2,4,50,100,3.226595497166707,2.754940046453429e-11,3.226595496937953,2.754940054793173e-11
sub-001,A,Fp2,P4,0,5,10,11.683568658416906,9.204469164615737e-11,11.683568658270474,9.204469167518197e-11
sub-001,A,Fp2,P4,0,10,20,4.045311415778923,2.2258395539132768e-05,4.045311415761388,2.2258395540613815e-05
sub-001,A,Fp2,P4,0,20,40,2.944422425446951,2.2042716571984712e-05,2.944422425370681,2.2042716582721407e-05
sub-001,A,Fp2,P4,0,30,60,3.0885822553592797,1.576402019472491e-07,3.0885822532064298,1.5764020500144367e-07
sub-001,A,Fp2,P4,0,40,80,2.497972971742519,2.700807744014425e-06,2.49797297102504,2.700807764426465e-06
sub-001,A,Fp2,P4,0,50,100,2.2379563818970536,7.823345867391306e-06,2.2379563818073684,7.823345875709041e-06
sub-001,A,Fp2,P4,1,5,10,18.080940135133524,1.1730243560715403e-16,18.0809401351789,1.173024355960587e-16
sub-001,A,Fp2,P4,1,10,20,3.0953867397828594,0.0007543126494210491,3.0953867398333363,0.0007543126492838075
sub-001,A,Fp2,P4,1,20,40,1.538864584192839,0.06326952013703463,1.5388645829998622,0.06326952047816974
sub-001,A,Fp2,P4,1,30,60,1.5026717789899753,0.04407741495842439,1.5026717797154907,0.044077414767502085
sub-001,A,Fp2,P4,1,40,80,1.8221562209821407,0.0020298127604302073,1.8221562226236747,0.0020298127309973774
sub-001,A,Fp2,P4,1,50,100,1.8305041923526788,0.0007585713692626786,1.8305041928083323,0.0007585713656420439
sub-001,A,Fp2,P4,2,5,10,2.610284230541464,0.023975246820059106,2.6102842305904956,0.0239752468177532
sub-001,A,Fp2,P4,2,10,20,1.0315051615818207,0.41510789145010196,1.0315051608216996,0.41510789208934123
sub-001,A,Fp2,P4,2,20,40,2.1559648408868526,0.002635413629475467,2.1559648374821125,0.002635413680248404
sub-001,A,Fp2,P4,2,30,60,2.2428523190782688,0.0002237983185257194,2.2428523177115625,0.00022379832097819459
